Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Saint Helena,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Saint Kitts and Nevis,6.8,13.5,11.1,21.9,23.7,17.1,35.9,33.5,47.7,55.6,42.8,68.8,36.1,,,,,,
Saint Lucia,14.7,21.5,26.4,22.4,22.9,25.1,26.0,17.3,22.9,22.6,25.3,26.2,22.1,18.6,19.1,15.6,16.7,29.3,21.4
Saint Martin (French Part),,,,,,,,,,,,21.4,5.4,21.9,22.2,16.7,27.7,,
Saint Pierre and Miquelon,,,,,,,0.0,0.0,15.9,15.8,,,,,,,,,
Saint Vincent and the Grenadines,18.6,11.1,18.5,16.6,26.7,23.9,18.4,36.9,14.8,21.2,23.1,19.4,25.8,,,,36.5,,
Samoa,,,,,,,,,,8.7,8.6,,,3.1,,,,,
San Marino,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Sao Tome and Principe,,,,,,,2.5,2.4,8.2,2.8,3.3,3.3,,,,,,,
Saudi Arabia,0.8,1.1,1.3,1.1,1.3,1.2,1.0,1.1,,,,,,,,1.5,,1.3,
Senegal,,,,,,,,,,,,,,,,0.3,,,
Serbia,2.4,2.6,2.1,1.9,1.8,1.6,1.7,1.9,6.5,4.1,6.0,3.5,5.0,2.2,3.0,2.3,2.1,2.6,2.4
Seychelles,,,,,11.4,,10.1,8.9,6.6,15.4,9.9,17.4,4.3,19.3,17.0,7.4,12.5,,
Sierra Leone,,,,,2.1,1.8,1.7,2.2,3.0,2.5,2.5,2.8,1.7,,,1.7,,,
Singapore,1.0,0.8,0.8,0.7,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.2
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,
Slovakia,2.4,2.2,2.2,2.5,2.0,1.7,1.5,1.5,1.6,1.4,1.5,1.6,1.2,1.3,1.3,0.8,1.0,1.5,1.1
Slovenia,1.8,1.4,1.8,1.1,1.4,1.0,0.6,1.2,0.5,0.6,0.7,0.8,0.7,0.6,0.8,1.0,0.5,0.9,0.5
Solomon Islands,,,,,4.4,5.5,4.8,5.3,3.8,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,
South Africa,48.4,47.0,46.7,42.4,39.7,38.7,39.4,37.5,36.3,33.2,31.0,29.9,30.7,31.7,32.6,33.7,33.8,35.7,36.4
South Sudan,,,,,,,,,,,,,14.9,,,,,,
Spain,1.4,1.4,1.3,1.4,1.2,1.2,1.1,1.1,0.9,0.9,0.9,0.8,0.8,0.6,0.7,0.6,0.6,0.7,0.6
Sri Lanka*,,,,6.8,7.1,6.2,10.4,,10.0,5.5,3.8,3.6,3.3,3.0,2.7,2.3,2.5,2.3,2.4
State of Palestine,1.3,1.7,2.5,2.7,2.7,2.3,,,1.2,1.1,0.8,0.6,0.6,0.6,0.5,1.2,0.4,0.7,0.5
Sudan,,,,,,,,4.7,5.1,,,,,,,,,,
Suriname,14.4,16.6,11.8,12.3,9.3,13.8,12.3,8.8,8.3,,,,,5.3,5.8,6.1,7.3,5.4,
Sweden,1.1,1.0,1.1,0.9,1.2,0.9,1.0,1.2,0.9,1.0,1.0,0.9,0.7,0.9,0.9,1.1,1.1,1.1,1.1
Switzerland,1.0,1.2,1.2,1.0,1.1,1.0,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.7,0.5,0.5,0.6
Syrian Arab Republic,2.2,2.2,2.2,2.3,2.4,2.3,2.3,2.7,2.6,2.2,2.2,,,,,,,,0.9
Tajikistan,4.6,3.7,2.8,2.5,2.1,2.3,2.8,1.9,1.4,1.3,2.4,1.6,,,,,,,
Thailand,8.2,7.9,7.1,10.0,6.6,7.3,7.1,6.7,6.0,5.5,5.4,4.9,4.9,4.2,3.9,3.5,3.2,2.6,
Timor-Leste,,,,,2.4,4.6,4.8,6.0,3.3,3.0,3.6,,,,,4.1,,,
Togo,,,,,,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,
Tonga,1.0,6.1,6.1,6.0,2.0,4.0,7.9,1.0,3.9,7.7,1.0,1.9,1.0,,,,,,
Trinidad and Tobago,9.5,11.9,13.4,17.8,20.2,29.8,28.5,29.9,41.6,38.4,35.6,26.3,28.3,30.1,29.7,30.6,,,
Tunisia,,,,,1.9,2.6,2.4,2.6,2.7,2.4,2.7,,3.1,,,,,,
Turkey,,,,4.3,4.3,4.9,4.6,5.2,4.6,5.2,4.2,4.2,4.3,,,2.8,3.3,3.1,2.6
Turkmenistan,5.9,5.4,5.2,5.0,4.4,4.3,4.2,,,,,,,,,,,,
Turks and Caicos Islands,0.0,0.0,8.6,0.0,,0.0,,6.6,6.4,6.3,,,,11.5,5.7,,,,
Tuvalu,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.4,18.6,,,,,,
Uganda,,,,8.2,7.6,9.0,9.4,9.0,9.2,10.3,9.7,11.2,11.8,10.8,12.1,,11.3,11.5,10.5
Ukraine,9.0,10.0,9.0,8.5,7.4,6.5,6.3,5.7,5.3,4.9,4.3,,5.1,,6.3,,,6.2,
United Arab Emirates,,,,1.2,0.7,1.2,0.7,,,,0.8,0.6,0.8,0.6,0.7,0.6,0.7,0.5,
United Kingdom (England and Wales),,,,,,,,,,,,,,,,,,,
